Model,Accuracy,Balanced Acc,Macro F1,Weighted F1,Fake Precision,Fake Recall,Fake F1,Real Precision,Real Recall,Real F1,ROC AUC,Avg Precision,Brier Score,Log Loss,MCC,Cohen's Kappa,Specificity,Sensitivity,FPR,FNR,TP,FP,FN,TN
PF — Stack,0.8301886792452831,0.8160392798690671,0.8210131332082552,0.8284045452936388,0.8275862068965517,0.7384615384615385,0.7804878048780488,0.8316831683168316,0.8936170212765957,0.8615384615384616,0.9171849427168576,0.9090758874143985,0.1126711210736259,0.36034069613125497,0.6455308181367757,0.6427560955313305,0.8936170212765957,0.7384615384615385,0.10638297872340426,0.26153846153846155,48,10,17,84
PF — BERT,0.8867924528301887,0.8876432078559738,0.8839227774172616,0.887251600896257,0.8405797101449275,0.8923076923076924,0.8656716417910447,0.9222222222222223,0.8829787234042553,0.9021739130434783,0.9492635024549919,0.9541284247623134,0.07398834570581801,0.2945822796020265,0.7690188398492426,0.7679961089494163,0.8829787234042553,0.8923076923076924,0.11702127659574468,0.1076923076923077,58,11,7,83
GC — Stack,0.9217103282143932,0.9180583742352313,0.897774155541075,0.9234679314349605,0.7936681222707423,0.9110275689223057,0.8483080513418904,0.9704781704781705,0.925089179548157,0.9472402597402597,0.9789947520406248,0.9338217653261354,0.06068833920872122,0.19855146334735355,0.7993219086506883,0.795884790005716,0.925089179548157,0.9110275689223057,0.07491082045184304,0.08897243107769423,727,189,71,2334
GC — BERT,0.934056007226739,0.9291823494527043,0.9129929890651908,0.9352290394499341,0.8256467941507312,0.9197994987468672,0.8701837581505631,0.9736842105263158,0.9385652001585414,0.9558022199798184,0.9811960539477905,0.9376532391062974,0.056844620068582694,0.2152052377957767,0.8283221095415546,0.8261581960201095,0.9385652001585414,0.9197994987468672,0.06143479984145858,0.08020050125313283,734,155,64,2368
